UserId,ProductId,Rating
645a0c54180dad38b945f115,6456d2a93c8c44dc5a3fe228,5
645a0c54180dad38b945f105,6456d2a93c8c44dc5a3fe2ea,5
645a0c54180dad38b945f0f3,6456d2a93c8c44dc5a3fdf9e,2
645a0c54180dad38b945f0c9,6456d2a93c8c44dc5a3fe013,2
64549feb66552f8480e3d22d,6456d2a93c8c44dc5a3fdfe3,1
645a0c54180dad38b945f0cf,6456d2a93c8c44dc5a3fe14e,2
645a0c54180dad38b945f10c,6456d2a93c8c44dc5a3fe1e5,4
645a0c54180dad38b945f0e5,6456d2a93c8c44dc5a3fe0b5,5
645a0c54180dad38b945f0d5,6456d2a93c8c44dc5a3fe211,5
645a0c54180dad38b945f0e6,6456d2a93c8c44dc5a3fe14d,5
645a0c54180dad38b945f0d0,6456d2a93c8c44dc5a3fe251,3
645a0c54180dad38b945f0ed,6456d2a93c8c44dc5a3fdf87,4
645a0c54180dad38b945f0c6,6456d2a93c8c44dc5a3fe2e2,4
645a0c54180dad38b945f0ed,6456d2a93c8c44dc5a3fe085,5
645a0c54180dad38b945f0d3,6456d2a93c8c44dc5a3fdf58,3
645a0c54180dad38b945f101,6456d2a93c8c44dc5a3fdf2a,1
645a0c54180dad38b945f0c8,6456d2a93c8c44dc5a3fe222,4
645a0c54180dad38b945f0fe,6456d2a93c8c44dc5a3fe1c7,1
645a0c54180dad38b945f0e1,6456d2a93c8c44dc5a3fe0dd,1
645a0c54180dad38b945f0e0,6456d2a93c8c44dc5a3fe1ba,4
645a0c54180dad38b945f10c,6456d2a93c8c44dc5a3fdf78,3
642de8d58977f04fece1fddf,6456d2a93c8c44dc5a3fdfad,2
642b85e7153ba7d0007c59ac,6456d2a93c8c44dc5a3fdf06,1
645a0c54180dad38b945f0fb,6456d2a93c8c44dc5a3fe1eb,2
645a0c54180dad38b945f0c9,6456d2a93c8c44dc5a3fe093,1
645a0c54180dad38b945f124,6456d2a93c8c44dc5a3fe06b,4
645a0c54180dad38b945f128,6456d2a93c8c44dc5a3fe15d,5
645a0c54180dad38b945f0dc,6456d2a93c8c44dc5a3fdfdb,4
645a0c54180dad38b945f0dc,6456d2a93c8c44dc5a3fdfa2,3
6447344c68e44427b8af20e0,6456d2a93c8c44dc5a3fdfd3,5
644f12cf36c89b6d867eb109,6456d2a93c8c44dc5a3fe0ac,2
645a0c54180dad38b945f11c,6456d2a93c8c44dc5a3fdf9e,2
645a0c54180dad38b945f11b,6456d2a93c8c44dc5a3fdeb3,1
645a0c54180dad38b945f0e8,6456d2a93c8c44dc5a3fe06a,1
645a0c54180dad38b945f0fc,6456d2a93c8c44dc5a3fe10f,5
645a0c54180dad38b945f0e4,6456d2a93c8c44dc5a3fde74,4
645a0c54180dad38b945f126,6456d2a93c8c44dc5a3fde8e,3
645a0c54180dad38b945f0f5,6456d2a93c8c44dc5a3fe208,1
645a0c54180dad38b945f0cb,6456d2a93c8c44dc5a3fe136,1
6455a4a07c5e0b03af570ce4,6456d2a93c8c44dc5a3fe082,2
645a0c54180dad38b945f11f,6456d2a93c8c44dc5a3fdf27,2
64294f70a3ad4a77f37e32b1,6456d2a93c8c44dc5a3fe217,4
645a0c54180dad38b945f0dd,6456d2a93c8c44dc5a3fde94,2
6452b011936c301c9ad5b185,6456d2a93c8c44dc5a3fdfb3,1
645a0c54180dad38b945f0f9,6456d2a93c8c44dc5a3fe0b7,3
645a0c54180dad38b945f0ff,6456d2a93c8c44dc5a3fe2d1,2
645a0c54180dad38b945f10c,6456d2a93c8c44dc5a3fe28a,3
645a0c54180dad38b945f103,6456d2a93c8c44dc5a3fe003,3
645a0c54180dad38b945f10a,6456d2a93c8c44dc5a3fe16b,4
645a0c54180dad38b945f0c7,6456d2a93c8c44dc5a3fe067,3
645a0c54180dad38b945f106,6456d2a93c8c44dc5a3fe26c,4
645a0c54180dad38b945f124,6456d2a93c8c44dc5a3fe0f3,1
642b880edd4ada5b0fad33bc,6456d2a93c8c44dc5a3fe250,5
645a0c54180dad38b945f0e0,6456d2a93c8c44dc5a3fdf2d,5
645a0c54180dad38b945f0fd,6456d2a93c8c44dc5a3fe0e6,1
645a0c54180dad38b945f0e3,6456d2a93c8c44dc5a3fdea8,1
6454a10366552f8480e3d23f,6456d2a93c8c44dc5a3fdf1b,1
645a0c54180dad38b945f0c6,6456d2a93c8c44dc5a3fe0c4,3
6454a10366552f8480e3d23f,6456d2a93c8c44dc5a3fdfbc,1
645a0c54180dad38b945f0e0,6456d2a93c8c44dc5a3fe2aa,3
645a0c54180dad38b945f101,6456d2a93c8c44dc5a3fe271,1
645a0c54180dad38b945f120,6456d2a93c8c44dc5a3fe046,2
645a0c54180dad38b945f104,6456d2a93c8c44dc5a3fe128,1
645a0c54180dad38b945f0ec,6456d2a93c8c44dc5a3fe0aa,3
642b91fa50df97652be2001b,6456d2a93c8c44dc5a3fdeb0,5
64482e7c34fef9294bf212cf,6456d2a93c8c44dc5a3fe0f2,4
645a0c54180dad38b945f0d9,6456d2a93c8c44dc5a3fde9b,4
645a0c54180dad38b945f0f7,6456d2a93c8c44dc5a3fdf69,4
645a0c54180dad38b945f0d2,6456d2a93c8c44dc5a3fe093,2
645a0c54180dad38b945f125,6456d2a93c8c44dc5a3fde6f,5
645a0c54180dad38b945f110,6456d2a93c8c44dc5a3fe247,4
645a0c54180dad38b945f0e1,6456d2a93c8c44dc5a3fe22d,1
642b880edd4ada5b0fad33bc,6456d2a93c8c44dc5a3fe0e4,1
645a0c54180dad38b945f11b,6456d2a93c8c44dc5a3fe28a,1
