_id,name,seller,image,category,brand,description,price,countInStock,rating,numReviews,notified,__v,createdAt,updatedAt
6456d2a93c8c44dc5a3fde67,Printed A-line Dress,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220628/iWoD/62ba23d0aeb26921af4ac280/-473Wx593H-464556322-multi-MODEL.jpg,Dresses,GLOBUS,"1 dress,55% polyester, 35% viscose, 10% spandex,Machine wash.",40.475,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde68,Floral Print High-Rise Tiered Skirt,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220623/PocR/62b4a320aeb26921af4326b3/-473Wx593H-460971977-printed-MODEL.jpg,Skirts,GLAMOROUS,"1 skirt,Machine wash cold,70% cotton, 30% viscose.",58.475,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde69,A-line Dress with Tie-Up Jacket,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220601/q6ai/62967b0af997dd03e25232fd/-473Wx593H-464419598-peach-MODEL.jpg,Dresses,YUFTA,"1 dress, 1 jacket,Hand wash,Cotton.",44.975,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6a,Mid-Rise Stretch Jeggings,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220505/OyAb/6272e60aaeb26921af55603e/-473Wx593H-464284833-purple-MODEL.jpg,Jeans,MODRIBA,"1 jeggings,Polyester,Machine wash,Mid Rise.",25.0,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6b,Floral Print Sleeveless Shift Dress,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220520/6OQ0/6287549faeb26921afb03b7f/-473Wx593H-464275171-black-MODEL.jpg,Dresses,PURYS,"1 dress,Machine wash,Crepe.",15.6,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6c,Off Shoulder Fit & Flare Dress,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220405/TG52/624b5bc1f997dd03e2478a00/-473Wx593H-464122767-red-MODEL.jpg,Dresses,MARC LOUIS,"1 dress,Georgette,Machine wash.",41.175,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6d,High-Rise Skinny Fit Jeggings,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220604/y6Mc/629b433eaeb26921af0f8d6a/-473Wx593H-441273761-black-MODEL.jpg,Jeans,RECAP,"1 jeggings,Machine wash,High Rise,85% cotton, 12% polyester, 3% spandex.",26.225,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6e,Lightly Washed Wide-Leg Jeans,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220602/CuIp/62983eaff997dd03e25b4c16/-473Wx593H-410314902-10-MODEL.jpg,Jeans,REPLAY,"1 jeans,Machine wash,High Rise,72% cotton, 21% modal, 5% polyester, 2% elastane.",200.975,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde6f,Washed Skinny Fit Jeans,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220720/q5zp/62d813d6f997dd03e2e39272/-473Wx593H-410273348-1500-MODEL.jpg,Jeans,ARMANI EXCHANGE,"1 jeans,Machine wash cold,Mid Rise,88% cotton, 9% polyester, 3% elastane.",192.475,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
6456d2a93c8c44dc5a3fde70,Denim Slim Fit Jeans,64482e7c34fef9294bf212cf,https://assets.ajio.com/medias/sys_master/root/20220401/1UVh/6246ef03f997dd03e242ddcb/-473Wx593H-464106722-blue-MODEL.jpg,Jeans,FCK-3,"1 jeans,Strechable denim,Machine wash,Mid Rise.",35.725,30,0,0,[],0,2023-05-06 22:20:25.976,2023-05-06 22:20:25.976
